Location,Ontario producer,LCBO convenience outlet,Authorized to sell beer,Authorized to sell wine,Authorized to sell cider,Authorized to sell spirits,Authorized to sell ready-to-drink,Accepts empties,Bottle return only,Address,City/Town,Postal code,Latitude,Longitude
A1 Stop,N,N,Y,Y,Y,N,Y,N,N,201 Highway 17,White River,P0M3G0,48.59264,-85.2752
A2Z Convenience,N,N,Y,Y,Y,N,Y,N,N,4690 Tecumseh Road East,Windsor,N8W1K7,42.30755,-82.9684
A2Z Corner,N,N,Y,Y,Y,N,Y,N,N,605 Longfields Drive,Nepean,K2J6T7,45.28529,-75.7456
AA Convenience Store,N,N,Y,Y,Y,N,Y,N,N,660 Wyandotte Street West,Windsor,N9A6S8,42.31156,-83.0444
AAA Convenience,N,N,Y,Y,Y,N,Y,N,N,1100 Burnhamthorpe Road West,Mississauga,L5C4G4,43.56985,-79.6611
AAI Convenience,N,N,Y,Y,Y,N,Y,N,N,3256 Eglinton Avenue East,Scarborough,M1J2H6,43.74444,-79.2164
Aarsh Convenience,N,N,Y,Y,Y,N,Y,N,N,452 Rathburn Road,Etobicoke,M9C3S8,43.6532059,-79.5734056
Abbas Smoke & Variety,N,N,Y,Y,Y,N,Y,N,N,2857 1/2 Kingston Road,Scarborough,M1M1N3,43.7218657,-79.2357721
Abbey Market,N,N,Y,Y,Y,N,Y,N,N,1500 Upper Middle Road West,Oakville,L6M3G3,43.43864,-79.7408
Abbeywood Convenience,N,N,Y,Y,Y,N,Y,N,N,1395 Abbeywood Drive,Oakville,L6M3B2,43.43168,-79.7264
ABC Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5 Mcmurchy Avenue North,Brampton,L6X2R6,43.68189,-79.7658
Aberfoyle Convenience,N,N,Y,Y,Y,N,Y,N,N,83 Aberfoyle Road,Kingston,K7M7B5,44.25858,-76.5219
ABN Convenience,N,N,Y,Y,Y,N,Y,N,N,1575 Lawrence Avenue West,North York,M6L1C3,43.7057987,-79.4885361
Absolute Discount Store,N,N,Y,Y,Y,N,Y,N,N,355 Wentworth Street West,Oshawa,L1J6G5,43.86896253,-78.85477438
Ace Convenience,N,N,Y,Y,Y,N,Y,N,N,1409 Wyandotte Street East,Windsor,N9A3L1,42.32086,-83.0176
Ace Convenience,N,N,Y,Y,Y,N,Y,N,N,231 Queen Street East,Brampton,L6W2B5,43.695925,-79.7484449
Ace Mini Mart,N,N,Y,Y,Y,N,Y,N,N,149 Boullee Street,London,N5Y1T9,43.01029,-81.2262
Action Convenience,N,N,Y,Y,Y,N,Y,N,N,1701 Martin Grove Road,Etobicoke,M9V4N4,43.73317,-79.5889
Acton Discount Variety,N,N,Y,Y,Y,N,Y,N,N,52 Mill Street East,Acton,L7J1H3,43.63109,-80.0398
Acton Town Milk,N,N,Y,Y,Y,N,Y,N,N,99 Main Street North,Acton,L7J1W5,43.63235,-80.0447
Adam Brown 55 Distilling Company,Y,N,N,N,N,Y,N,N,N,5 Hilwood Drive,Moorefield,N0G2K0,43.76979982,-80.73805653
Adamo Estate Winery (Hockley Valley Resort),Y,N,N,Y,Y,N,N,N,N,793366 3rd Line EHS,Mono,L9W5X7,43.96476455,-80.04194503
Advik Convenience,N,N,Y,Y,Y,N,Y,N,N,249 Vauxhall Drive,Scarborough,M1P1R6,43.75936,-79.289
Afrique au Canada,N,N,Y,Y,Y,N,Y,N,N,208 Loachs Road,Sudbury,P3E2P7,46.4498823,-80.9903533
Afrique au Canada,N,N,Y,Y,Y,N,Y,N,N,761 Barry Downe Road,Greater Sudbury,P3A3T6,46.5132831,-80.9446643
Agawa Crafts and the Canadian Carver,N,Y,Y,Y,Y,Y,Y,Y,N,12502 Highway 17 North ,Batchawana Bay,P0S1A0,46.96420928,-84.6643665
AGP Convenience Video & Fast Food,N,N,Y,Y,Y,N,Y,N,N,1801 Harwood Avenue North,Ajax,L1T0K8,43.89124,-79.0379
AGP Mart,N,N,Y,Y,Y,N,Y,N,N,4A Wade Avenue,Toronto,M6H2Z3,43.6594,-79.4433
Agritech North,N,N,Y,Y,Y,N,Y,N,N,250 Duke Street,Dryden,P8N1H4,49.7817713,-92.8230082
Ahna Convenience,N,N,Y,Y,Y,N,Y,N,N,11755 Tenth Line,Whitchurch-Stouffville,L4A4V9,43.9978313,-79.236518
Ailsa Craig Clover Farm,N,Y,Y,Y,Y,Y,Y,Y,N,157 Ailsa Craig Main Street,Ailsa Craig,N0M1A0,43.14737559,-81.53557965
Aim Convenience,N,N,Y,Y,Y,N,Y,N,N,919 Commissioners Road East,London,N5Z3H9,42.95894,-81.2143
Ainees,N,N,Y,Y,Y,N,Y,N,N,1016 Pleasant Park Road,Ottawa,K1G2A1,45.39526538,-75.62240048
Airport Hill Variety,N,N,Y,Y,Y,N,Y,N,N,992 Airport Road,North Bay,P1C1A6,46.34686,-79.4374
Aisle24 Maple Go,N,N,Y,Y,Y,N,Y,N,N,100 Eagle Rock Way,Maple,L6A5B9,43.8605528,-79.504528
Ajax Convenience,N,N,Y,Y,Y,N,Y,N,N,3 Harwood Avenue South,Ajax,L1S2C1,43.8605434,-79.0247948
Ajibo Shop,N,N,Y,Y,Y,N,Y,N,N,606 Victoria Avenue East,Thunder Bay,P7C1A9,48.38376,-89.2463
AJs Convenience,N,N,Y,Y,Y,N,Y,N,N,186 Queen Street,Killaloe,K0J2A0,45.55291,-77.4151
AJ's Convenience Center,N,N,Y,Y,Y,N,Y,N,N,"1060 Kennedy Road, Unit 5",Scarborough,M1P2K7,43.7488671,-79.2754683
Akash Superstore,N,N,Y,Y,Y,N,Y,N,N,1447 Water Street,Peterborough,K9H0C6,44.34869,-78.3042
AKT Supermarket,N,N,Y,Y,Y,N,Y,N,N,18 Ringwood Drive,Stouffville,L4A8C1,43.96462,-79.2749
Al Asriya Alcoholic Beverages Company,Y,N,N,N,N,Y,N,N,N,2300 Finch Avenue West,North York,M9M2Y3,43.7531831,-79.5417277
Al Borgo Estates,Y,N,N,Y,Y,N,N,N,N,5288 Fly Road,Lincoln,L3J2A4,43.1331,-79.4895247
Al Premium Food Mart,N,N,Y,Y,Y,N,Y,N,N,1970 Eglinton Avenue East,Scarborough,M1L2M6,43.7307,-79.2853
Al Premium Food Mart,N,N,Y,Y,Y,N,Y,N,N,250 Alton Towers Circle,Scarborough,M1V3Z4,43.8255,-79.2775
Alan & Michelle's,N,N,Y,Y,Y,N,Y,N,N,975 Mckeown Avenue,North Bay,P1B9P2,46.334224,-79.4690305
Albion Convenience,N,N,Y,Y,Y,N,Y,N,N,900 Albion Road,Toronto,M9V1A5,43.73516441,-79.55885599
Albion Kffair Convenience,N,N,Y,Y,Y,N,Y,N,N,6210 Finch Avenue West,Etobicoke,M9V0A1,43.74276169,-79.58959919
