Location,Ontario producer,LCBO convenience outlet,Authorized to sell beer,Authorized to sell wine,Authorized to sell cider,Authorized to sell spirits,Authorized to sell ready-to-drink,Accepts empties,Bottle return only,Address,City/Town,Postal code,Latitude,Longitude
Longo's,N,N,Y,Y,Y,N,Y,N,N,1 Rossland Road East,Ajax,L1Z1Z2,43.87895004,-79.02386207
Longo's,N,N,Y,N,Y,N,Y,N,N,10860 Yonge Street,Richmond Hill,L4C3E4,43.89194842,-79.44398816
Longo's,N,N,Y,N,Y,N,Y,N,N,5550 Baldwin Street South,Whitby,L1M1T5,43.95161034,-78.96378417
Longo's,N,N,Y,Y,Y,N,Y,N,N,5771 Main Street,Stouffville,L4A2T1,43.96645,-79.2641
Longo's,N,N,Y,N,Y,N,Y,N,N,650 Wellington Street East,Aurora,L4G0K3,44.00587368,-79.44625409
Longo's,N,N,Y,Y,Y,N,Y,N,N,18319 Yonge Street,East Gwillimbury,L9N0A2,44.07561,-79.4802
Longrid Estates Vineyards & Winery,Y,N,N,Y,Y,N,N,N,N,10941 Loyalist Parkway,Adolphustown,K0H1G0,44.05462972,-77.03376422
Longtooth Beverage Company,Y,N,Y,N,Y,N,N,N,N,429 West Front Street,Stirling,K0K3E0,44.29183115,-77.56378637
Looney Tooney Club And Bargain Club,N,N,Y,Y,Y,N,Y,N,N,1940 Eglinton Avenue West,York,M6E2J8,43.69533,-79.4532
Lorena's Convenience,N,N,Y,Y,Y,N,Y,N,N,3560 Major Mackenzie Drive West,Woodbridge,L4H4J5,43.8468,-79.5541
Lormel  Convenience Store,N,N,Y,Y,Y,N,Y,N,N,10 Lormel Gate,Brampton,L7A2K7,43.70083,-79.8058
Lost Bear Market,N,N,Y,Y,Y,N,Y,N,N,15666 Mclaughlin Road,Inglewood,L7C1M3,43.79628,-79.9335
Lost Channel Inc,N,N,Y,Y,Y,N,Y,N,N,400 Lost Channel Road,Loring,P0G1A0,45.895548,-80.3182763
Lost Meadows Meadery Corp.,Y,N,N,Y,Y,N,N,N,N,6084 10th Sideroad,Egbert,L0L1N0,44.22235332,-79.82018226
Lost Villages Brewery,Y,N,Y,N,Y,N,N,N,N,16133 Stormont,Long Sault,K0C1P0,45.035204,-74.87947333
Lot 10 Brewing Co.,Y,N,Y,N,Y,N,N,N,N,263 Dalhousie Street,Amherstburg,N9V1W8,42.10194609,-83.11259186
Lot 19 Winery,Y,N,N,Y,Y,N,N,N,N,105 Frizell Road,Perth,K7H3C7,44.88999439,-76.16805709
Lotte Convenience,N,N,Y,Y,Y,N,Y,N,N,844 Niagara Street,Welland,L3C1M3,43.01822,-79.2487
Lottery Emporium,N,N,Y,Y,Y,N,Y,N,N,355 Hespeler Road,Cambridge,N1R6B3,43.3920911,-80.3209162
Loughlin's Country Store,N,Y,Y,Y,Y,Y,Y,Y,N,1738 County Road 1 ,Hallville,K0E1S0,45.06112452,-75.5172422
Louis Cifer Brew Works,Y,N,Y,N,Y,N,N,N,N,417 Danforth Avenue,Toronto,M4K1P1,43.6774309,-79.3511596
Low Price Convenience,N,N,Y,Y,Y,N,Y,N,N,701 Street Pierre Street,Tecumseh,N8N1Z5,42.31667,-82.8862
Lowertown Brewery Inc.,Y,N,Y,N,Y,N,N,N,N,73 York Street,Ottawa,K1N5T4,45.42879299,-75.69221128
LP Mart,N,N,Y,Y,Y,N,Y,N,N,2 Quaker Village Drive,Uxbridge,L9P1A1,44.1054149,-79.1394681
LSL Carlingwood,N,N,Y,Y,Y,N,Y,N,N,2085 Carling Avenue,Ottawa,K2A1H2,45.37251215,-75.76757855
Lucknow Co-Op,N,N,N,N,N,N,N,Y,Y,86387 Lucknow Line,Lucknow,N0G2H0,43.946868,-81.530191
Lucky 13,N,Y,Y,Y,Y,Y,Y,Y,N,368 Highway 94,Corbeil,P0H1K0,46.26556188,-79.29460002
Lucky 13,N,N,Y,Y,Y,N,Y,N,N,555 McKeown Avenue,North Bay,P1B7M2,46.3328719,-79.4809394
Lucky 7,N,N,Y,Y,Y,N,Y,N,N,336 Phipps Street,Fort Erie,L2A2V8,42.93157,-78.9268
Lucky 7,N,N,Y,Y,Y,N,Y,N,N,672 The Queensway South,Keswick,L4P2G7,44.19991,-79.4664
Lucky 7 Convenience,N,N,Y,Y,Y,N,Y,N,N,14 Oxford Street,Richmond Hill,L4C4L5,43.8873,-79.4425
Lucky 7 Variety,N,N,Y,Y,Y,N,Y,N,N,393 McNaughton Avenue West,Chatham,N7L4K4,42.40557,-82.2143
Lucky 7 Variety Store & Gas Bar,N,Y,Y,Y,Y,Y,Y,Y,N,6073 Highway 3,Cayuga,N0A1E0,42.97107477,-79.76976709
Lucky Charms,N,N,Y,Y,Y,N,Y,N,N,116 Parkhill Road East,Peterborough,K9H1R1,44.31763,-78.314
Lucky Convenience,N,N,Y,Y,Y,N,Y,N,N,141 Martin Grove Road,Etobicoke,M9B4K8,43.64935,-79.5488
Lucky Convenience,N,N,Y,Y,Y,N,Y,N,N,1244 Lawrence Avenue East,North York,M3A1C3,43.7417061,-79.3186498
Lucky Convenience,N,N,Y,Y,Y,N,Y,N,N,5694 Highway 7,Markham,L3P1B4,43.87193,-79.2694
Lucky Convenience,N,N,Y,Y,Y,N,Y,N,N,7 Glenwood Drive,Barrie,L4N1R3,44.4026144,-79.7026583
Lucky Convenience and Bargain,N,N,Y,Y,Y,N,Y,N,N,2248 Birchmount Road,Scarborough,M1T2M2,43.77962,-79.2979
Lucky Convenience Store,N,N,Y,Y,Y,N,Y,N,N,244 Perth Avenue,Toronto,M6P3Y1,43.66109,-79.4509
Lucky Discount Variety,N,N,Y,Y,Y,N,Y,N,N,1064 Bloor Street West,Toronto,M6H1M6,43.6604842,-79.4330834
Lucky Dollar Convenience,N,N,Y,Y,Y,N,Y,N,N,6099 Kingston Road,Scarborough,M1C1K5,43.78371,-79.1685
Lucky Dollar Store,N,N,Y,Y,Y,N,Y,N,N,1073 Prince Street,Lansdowne,K0E1L0,44.4038572,-76.0179473
Lucky J Variety  Store,N,N,Y,Y,Y,N,Y,N,N,250 Browns Line,Etobicoke,M8W3S2,43.598436,-79.5440896
Lucky Larry's Convenience and Cigars,N,N,Y,Y,Y,N,Y,N,N,1981 Davenport Road,Toronto,M6N1C5,43.66999,-79.4571
Lucky Mart,N,N,Y,Y,Y,N,Y,N,N,1852 Danforth Avenue,Toronto,M4C1J4,43.6849188,-79.3176184
Lucky Plus Convenience & Gas,N,N,Y,Y,Y,N,Y,N,N,22530 Loyalist Pkwy,Trenton,K8V5P7,44.0754378,-77.5940328
Lucky Pooja Convenience & Grocery,N,N,Y,Y,Y,N,Y,N,N,367 Pitfield Road,Scarborough,M1S3E5,43.78702,-79.2581
Lucky Store,N,N,Y,Y,Y,N,Y,N,N,2395 Finch Avenue West,North York,M9M2W8,43.75127,-79.544
Lucky Supermarket,N,N,Y,Y,Y,N,Y,N,N,1438 Queen Street West,Toronto,M6K1M2,43.64088,-79.4358
Lucky Twyn Rivers Variety,N,N,Y,Y,Y,N,Y,N,N,159 Twyn Rivers Drive,Pickering,L1V1E3,43.81611,-79.1431
Lucky's Variety & Coin Laundry,N,N,Y,Y,Y,N,Y,N,N,81 Stanley Street,Brantford,N3S6M5,43.14472,-80.2439
Lucy Grocery and Meat Store,N,N,Y,Y,Y,N,Y,N,N,213 Queen Street East,Toronto,M5A1S2,43.65416,-79.3704
Luis Borges International Foods Import Export,N,N,Y,Y,Y,N,Y,N,N,457 Rogers Road,York,M6M1A6,43.68219,-79.4652
Luke's Grocery,N,N,Y,Y,Y,N,Y,N,N,635 Logan Avenue,Toronto,M4K3C4,43.67132,-79.3468
Lukie's Convenience,N,N,Y,Y,Y,N,Y,N,N,36 Young Street,Alliston,L9R1P8,44.14858,-79.8829
Lulu's Variety and Deli,N,Y,Y,Y,Y,Y,Y,Y,N,201 Highway 130,Rosslyn,P7K0B7,48.36272743,-89.41632894
Lundy Manor Winery,Y,N,N,Y,Y,N,N,N,N,9941 Lundy's Lane,Niagara Falls,L2E6S4,43.08616948,-79.16758086
Lundy's Variety,N,N,Y,Y,Y,N,Y,N,N,6839 Lundy's Lane,Niagara Falls,L2G1V7,43.08962,-79.1094
Luxmy Amma Convenience,N,N,Y,Y,Y,N,Y,N,N,11399 Keele Street,Maple,L6A4E1,43.8901771,-79.5198377
Luxshi Super Store,N,N,Y,Y,Y,N,Y,N,N,13 Fisherman Drive,Brampton,L7A2X9,43.7136665,-79.799599
Lyda Asian Grocery Store,N,N,Y,Y,Y,N,Y,N,N,100 Oakville Avenue,London,N5V2S4,43.02715008,-81.19170087
Lynden Convenience,N,N,Y,Y,Y,N,Y,N,N,181 Lynden Road,Brantford,N3R8A7,43.17579,-80.2324
Lynden General Store,N,Y,Y,Y,Y,Y,Y,Y,N,128 Lynden Road,Lynden,L0R1T0,43.23778323,-80.14700116
Lyne's Variety,N,N,Y,Y,Y,N,Y,N,N,252 Toke Street,Timmins,P4N6V1,48.4811,-81.3219
Lynhurst Variety,N,Y,Y,Y,Y,Y,Y,Y,N,10090 Wellington Road,St. Thomas,N5P2K8,42.79382177,-81.20968882
M & D Variety,N,N,Y,Y,Y,N,Y,N,N,2732 Jane Street,North York,M3L2N1,43.74338,-79.5145
M & G Variety,N,N,Y,Y,Y,N,Y,N,N,2491 Lake Shore Boulevard West,Etobicoke,M8V1C5,43.61272,-79.4893
M & M Convenience,N,N,Y,Y,Y,N,Y,N,N,116 Markham Road,Scarborough,M1M2Z7,43.73928,-79.2177
M & M Variety,N,N,Y,Y,Y,N,Y,N,N,443 Kerr Street,Oakville,L6K3C2,43.44575,-79.6849
M & M Variety,N,N,Y,Y,Y,N,Y,N,N,1184 Weston Road,York,M6M4P4,43.687467,-79.4911942
M & R Country Store,N,N,Y,Y,Y,N,Y,N,N,274 County Road 42,Windsor,N8N2L9,42.27932,-82.8462
M Mart,N,N,Y,Y,Y,N,Y,N,N,477 Dundas Street East,Waterdown,L0R2H8,43.34459,-79.8793
M&M Enterprise Variety,N,N,Y,Y,Y,N,Y,N,N,120 Metcalfe Street West,Strathroy,N7G1M8,42.95355,-81.6249
M&S Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1003 Felix Avenue,Windsor,N9C3L4,42.29535,-83.0676
M&S Minimart,N,N,Y,Y,Y,N,Y,N,N,261 Michael Boulevard,Whitby,L1N5B2,43.87204692,-78.9536313
M&S Variety,N,N,Y,Y,Y,N,Y,N,N,2291 Kipling Avenue,Etobicoke,M9W4L6,43.72927,-79.574
M.N.R. Convenience,N,N,Y,Y,Y,N,Y,N,N,240 Wellesley Street East,Toronto,M4X1G5,43.66848,-79.3719
M.Y. Food Mart,N,N,Y,Y,Y,N,Y,N,N,1730B Montreal Road,Gloucester,K1J6N3,45.44569,-75.6102
Mabelle Tuck Shop,N,N,Y,Y,Y,N,Y,N,N,24 Mabelle Avenue,Etobicoke,M9A4X7,43.64623,-79.5267
MacAdam's Mini Mart,N,Y,Y,Y,Y,Y,Y,Y,N,79 Huron Street,Ripley,N0G2R0,44.07113556,-81.57867625
Macdonell Variety,N,N,Y,Y,Y,N,Y,N,N,67 Macdonell Street,Guelph,N1H2Z7,43.5448262,-80.247534
Macedo Winery Limited,Y,N,N,Y,Y,N,N,N,N,1381 Dufferin Street,Toronto,M6H4C7,43.6702296,-79.43930992
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,28508 Centre Road,Strathroy,N7G3H6,42.97934,-81.6302
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,33406 Richmond Street,Lucan,N0M2J0,43.1853,-81.3967
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,198B Main Street North,Exeter,N0M1S3,43.36132,-81.4828
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,132 Main Street,Wellington,K0K3L0,43.95288,-77.3368
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,399 Main Street North,Mount Forest,N0G2L1,43.9856973,-80.7418929
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,594 10th Street,Hanover,N4N1R7,44.15399,-81.0171
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,6868 Highway 7,Peterborough,K9J6X6,44.24039,-78.4032
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,971 Lansdowne Street West,Peterborough,K9J1Z5,44.28188,-78.3432
MacEwen Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,2238 Sydenham Road,Elginburg,K0H1M0,44.3173392,-76.54109852
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,230 King Street East,Gananoque,K7G1G5,44.33158,-76.1601
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,652 Dunlop Street West,Barrie,L4N9X1,44.36608,-79.7331
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,7618 Poplar Side Road,Collingwood,L9Y0G5,44.47897,-80.2131
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,965 Edward Street,Prescott,K0E1T0,44.71816,-75.5217
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,12358 County Road 2,Morrisburg,K0C1X0,44.90093,-75.1868
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,11 Wilson Street West,Perth,K7H2M8,44.90125282,-76.253009
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,201 Second Street West,Cornwall,K6J1G6,45.01727,-74.7334
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,15919 County Road 2,Long Sault,K0C1P0,45.02789,-74.8973
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2985 County Road 43,Kemptville,K0G1J0,45.0300016,-75.6373695
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1030 Mcconnell Avenue,Cornwall,K6H4N1,45.03519,-74.7248
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,38 Main Street North,Chesterville,K0C1H0,45.10306,-75.2303
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,235 Military Road South,Lancaster,K0C1N0,45.13935,-74.4991
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,322 Townline Road East,Carleton Place,K7C3S3,45.15003,-76.1414
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5925 Perth Street,Richmond,K0A2Z0,45.20071,-75.8295
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1112 Concession Street,Russell,K4R1G7,45.25811,-75.3591
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,4564 Fallowfield Road,Ottawa,K2J4S2,45.2689656,-75.8018053
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,685 River Road,Gloucester,K1V2G2,45.26959,-75.6991
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5546 Albion Road,Gloucester,K1X1A8,45.26976,-75.5945
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,2070 Carp Road,Carp,K0A1L0,45.27565,-75.9496
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3 Main Street North,Maxville,K0C1T0,45.28833,-74.8552
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5026 Bank Street,Gloucester,K1X1G8,45.29707,-75.5807
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,631 Principale Street,Casselman,K0A1M0,45.3063,-75.083
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,344 Main Street North,Alexandria,K0C1A0,45.31837,-74.6431
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,470 Main Street,Alexandria,K0C1A0,45.32126,-74.6465
MacEwen Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,104 St. Guillaume Road,Vars,K0A3H0,45.33093622,-75.34619793
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,3420 Carling Avenue,Nepean,K2H5B1,45.35218,-75.8355
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1794 Dunrobin Road,Kanata,K2K1X7,45.38316,-75.9695
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,512 Bank Street,Ottawa,K2P1Z6,45.41003,-75.6925
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1515 Street Laurent Boulevard,Ottawa,K1G0Z9,45.41245,-75.6307
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,150 Madawaska Boulevard,Arnprior,K7S1S8,45.43356,-76.3433
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5819 Highway 34,Vankleek Hill,K0B1R0,45.5218,-74.6506
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,5087 County Road 17,Alfred,K0B1A0,45.54975,-74.9115
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,414 County Road 17,Hawkesbury,K6A2R2,45.58944,-74.5877
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,952 McGill Street,Hawkesbury,K6A1R6,45.59979,-74.6195
MacEwen Gas and Convenience Store,N,Y,Y,Y,Y,Y,Y,Y,N,1065 King Street,L'Orignal,K0B1K0,45.61934766,-74.69266346
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,13 Highway 94,Corbeil,P0H1K0,46.28018,-79.3016
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,1375 Seymour Street,North Bay,P1B9V6,46.30828,-79.4379
MacEwen Gas and Convenience Store,N,N,Y,Y,Y,N,Y,N,N,310 Mcconnell Street,Mattawa,POH1VO,46.31641,-78.7034
Machado Convenience,N,N,Y,Y,Y,N,Y,N,N,1990 Eglinton Avenue West,York,M6E2J9,43.69489,-79.4549
MacKay Convenience,N,N,Y,Y,Y,N,Y,N,N,654 MacKay Street,Pembroke,K8A1G4,45.81615,-77.1089
Mackinnon Brewing Brothers Brewing Co.,Y,N,Y,N,Y,N,N,N,N,1915 County Road,Bath,K0H1G0,44.2016214,-76.79552689
Maclean's Ales,Y,N,Y,N,Y,N,N,N,N,52 14th Avenue,Hanover,N4N3V9,44.14020386,-81.01479456
MacMillan's Convenience and The Loose Caboose,N,N,Y,Y,Y,N,Y,N,N,35 Marlborough Street North,Cornwall,K6H1L8,45.0196205,-74.7169
Macmillan's Store,N,N,Y,Y,Y,N,Y,N,N,125 Cumberland Street,Cornwall,K6J4H4,45.01525,-74.7364
MacPherson's General Store,N,Y,Y,Y,Y,Y,Y,Y,N,5411C Highway 11,Swastika,P0K1T0,48.12166304,-80.22200256
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,5854 Malden Road,Windsor,N9H1S4,42.24783,-83.0601
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,626 Notre Dame Street,Belle River,N0R1A0,42.29299,-82.7122
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,319 George Street,Port Stanley,N5L1C5,42.6644,-81.2156
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,534 Elm Street,St. Thomas,N5R1K7,42.76427,-81.1653
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,5302 Nauvoo Road,Watford,N0M2S0,42.94845,-81.8796
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,575 Proudfoot Lane,London,N6H4R5,42.98245,-81.2851
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,595 Richmond Street,London,N6A3G2,42.99017,-81.2511
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,207 Keefer Road,Thorold,L2V4N3,43.10973,-79.2183
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,775 Highland Road West,Kitchener,N2M5P5,43.43136,-80.5245
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,4141 Dixie Road,Mississauga,L4W1V5,43.62559,-79.6048
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,1625 Dundas Street West,Toronto,M6K1V2,43.6497521,-79.435951
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,933 Kingston Road,Toronto,M4E1S6,43.6802264,-79.2884818
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,2975 Kingston Road,Scarborough,M1M1P1,43.72471,-79.2314
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,4696 Yonge Street,North York,M2N5M2,43.75869,-79.4107
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,800 Steeles Avenue West,Thornhill,L4J7L2,43.79228,-79.4483
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,5965 Highway 7,Markham,L3P1A1,43.87335,-79.2603
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,343 Josephine Street,Wingham,N0G2W0,43.88881,-81.3104
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,16925 Yonge Street,Newmarket,L3Y5Y1,44.04081688,-79.47588249
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,57 Elora Street,Mildmay,N0G2J0,44.04137,-81.1177
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,118 Byron Street,Trenton,K8V2Y4,44.10995,-77.5681
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,13553 Bruce Road 10,Hanover,N4N3B9,44.16989,-81.0355
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,12 Cameron Street East,Cannington,L0E1E0,44.35045,-79.0382
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,15 Matthew Street,Marmora,K0K2M0,44.48264,-77.6832
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,32 Wilson Street West,Perth,K7H2M9,44.90129,-76.2538
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,3250 Brookdale Avenue,Cornwall,K6K1W3,45.05358,-74.7758
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,163 Townline Road West,Carleton Place,K7C2G1,45.14053,-76.1558
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,5511 Manotick Main Street,Manotick,K4M1A7,45.2271,-75.6862
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,500 Hazeldean Road,Kanata,K2L2B5,45.29343,-75.8939
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,1751 Paul Martin Drive,Pembroke,K8A6W5,45.79822,-77.1149
Mac's Convenience,N,N,Y,Y,Y,N,Y,N,N,100 Pembroke Street East,Pembroke,K8A8A3,45.82622,-77.1114
Madawaska Country Store,N,Y,Y,Y,Y,Y,Y,Y,N,25203 Highway 60,Madawaska,K0J2C0,45.50221599,-77.98475263
Made in India,N,N,Y,Y,Y,N,Y,N,N,130 Guelph Street,Georgetown,L7G4A5,43.6503023,-79.9122301
Madi's Milk,N,N,Y,Y,Y,N,Y,N,N,208 Margaret Avenue,Wallaceburg,N8A2A1,42.59525,-82.3741
Maelstrom Winery,Y,N,Y,N,N,N,N,N,N,78925 Sanctuary Line,Seaforth,N0K1W0,43.58504517,-81.48940657
Maelstrom Winery,Y,N,Y,Y,Y,N,N,N,N,78925 Sanctuary Line Road 31 & 32,Huron East,N0K1W0,43.58504517,-81.48940657
Magnetawan Building Centre,N,N,N,N,N,N,N,Y,Y,15 Burrows Street,Magnetawan,P0A1P0,45.6654232,-79.644289
Magnetawan Grill and Grocery,N,N,Y,Y,Y,N,Y,N,N,4244 Highway 520,Magnetawan,P0A1P0,45.6652,-79.6439
"Magnotta Brewery, Distillery and Winery",Y,N,Y,Y,Y,Y,N,N,N,271 Chrislea Road,Woodbridge,L4L8N6,43.79795613,-79.54278378
Magnotta Winery Estates,N,N,N,Y,Y,N,N,N,N,650 Division Road,Windsor,N8X0A8,42.26883112,-82.99753044
Magnotta Winery Estates,Y,N,N,Y,Y,N,N,N,N,1740 Richmond Street,London,N5X4E9,43.02801257,-81.28227733
Magnotta Winery Estates,Y,N,N,Y,Y,N,N,N,N,4701 Ontario Street,Beamsville,L0R1B4,43.18507172,-79.47638267
Magnotta Winery Estates,Y,N,N,Y,Y,N,N,N,N,14 Martindale Crescent (Meadowlands Power Centre),Ancaster,L9K1J9,43.22922735,-79.93845799
Magnotta Winery Estates,Y,N,N,Y,Y,N,N,N,N,4287 King Street East,Kitchener,N2P2E9,43.40969505,-80.39921626
Magnotta Winery Estates,Y,N,N,Y,Y,N,N,N,N,2555 Dixie Road,Mississauga,L4Y4C4,43.60891414,-79.58227183
Magnotta Winery Estates,Y,N,N,Y,Y,N,N,N,N,1320 Castlefield Avenue Building B,York,M6B4B3,43.69878581,-79.46194399
Magnotta Winery Estates,Y,N,N,Y,Y,N,N,N,N,1760 Midland Avenue,Scarborough,M1P3C2,43.76143054,-79.2694055
Magnotta Winery Estates,N,N,N,Y,Y,N,N,N,N,204 Ritson Road North,Oshawa,L1G0B2,43.9045233,-78.85696146
Magnotta Winery Estates,N,N,N,Y,Y,N,N,N,N,101 Dalton Avenue,Kingston,K7K0C4,44.26868992,-76.50367336
Magnotta Winery Estates,N,N,N,Y,Y,N,N,N,N,120 Park Place Boulevard,Barrie,L4N6P1,44.33843929,-79.68203413
Magnotta Winery Estates,Y,N,N,Y,Y,N,N,N,N,1010 Belfast Road,Ottawa,K1G4A2,45.41096138,-75.63063706
Magnotta Winery Estates,N,N,N,Y,Y,N,N,N,N,1400 The Kingsway,Sudbury,P3A4R7,46.50615631,-80.94528356
Maharaja Market,N,N,Y,Y,Y,N,Y,N,N,757 Bayridge Drive,Kingston,K7P2P1,44.25175479,-76.5910345
Main Station Collectables,N,N,N,N,N,N,N,Y,Y,28 Alice Street,Waterford,N0E1Y0,42.9346674,-80.2921679
Main Street Convenience,N,N,Y,Y,Y,N,Y,N,N,6119 Main Street,Niagara Falls,L2G6A2,43.0859479,-79.0915795
Main Street Convenience & Cigar,N,N,Y,Y,Y,N,Y,N,N,420 Main Street East,Milton,L9T1P9,43.5172896,-79.8778959
Main Street Variety,N,N,Y,Y,Y,N,Y,N,N,10 Main Street South,Forest,N0N1J0,43.09633,-82.0009
Main Street Variety,N,N,Y,Y,Y,N,Y,N,N,77 Main Street,Brighton,K0K1H0,44.04151,-77.7393
Main Variety,N,N,Y,Y,Y,N,Y,N,N,29 Main Street,Cambridge,N1R1V6,43.35877,-80.3147
Main Variety Plus,N,N,Y,Y,Y,N,Y,N,N,45 Main Street North,Georgetown,L7G3H2,43.6538978,-79.9316218
Main Video and Variety,N,N,Y,Y,Y,N,Y,N,N,64 Main Street South,Georgetown,L7G3G3,43.64968,-79.9266
Main's Milk,N,N,Y,Y,Y,N,Y,N,N,415 Main Street North,Brampton,L6X1N8,43.69616,-79.7744
Majestic Caribbean Groceries & Convenience Store,N,N,Y,Y,Y,N,Y,N,N,303 Colonel Phillips Drive,Shelburne,L9V3W1,44.09035,-80.20907
Major Convenience,N,N,Y,Y,Y,N,Y,N,N,1718 Queen Street East,Toronto,M4L1G7,43.6675485,-79.3118928
Makas Foods,N,N,Y,Y,Y,N,Y,N,N,725 Notre Dame Drive,London,N6J3V5,42.9478592,-81.2714987
Malivoire Wine Company,Y,N,N,Y,Y,N,N,N,N,4260 King Street,Beamsville,L0R1B0,43.15801498,-79.43849655
Malton Variety,N,N,Y,Y,Y,N,Y,N,N,4025 Brandon Gate Drive,Mississauga,L4T3Z9,43.73293,-79.6349
Malvern Convenience,N,N,Y,Y,Y,N,Y,N,N,20 Malvern Street,Scarborough,M1B2L4,43.7953646,-79.2354962
